1,🟢,정상,시스템 또는 서비스 정상 작동,2025-11-26 19:58:52.496754,t
2,🔴,심각,심각한 오류 또는 장애 발생,2025-11-26 19:58:52.496754,t
3,🟠,주의,경고 또는 비정상적인 상태,2025-11-26 19:58:52.496754,t
4,🔵,정보,일반 정보 또는 상태 업데이트,2025-11-26 19:58:52.496754,t
5,🟡,대기,작업 대기 중 또는 보류,2025-11-26 19:58:52.496754,t
6,⚫,알수없음,상태를 알 수 없음,2025-11-26 19:58:52.496754,t
7,📈,성능향상,성능 지표 상승,2025-11-26 19:58:52.496754,t
8,📉,성능저하,성능 지표 하락,2025-11-26 19:58:52.496754,t
9,📊,보고서,데이터 분석 및 보고서,2025-11-26 19:58:52.496754,t
10,⏱️,응답시간,응답 시간 또는 지연,2025-11-26 19:58:52.496754,t
11,⚡,활성,시스템 활성 또는 전력,2025-11-26 19:58:52.496754,t
12,🌡️,온도,서버 온도 또는 환경 지표,2025-11-26 19:58:52.496754,t
13,💾,저장공간,디스크 사용량 또는 저장 공간,2025-11-26 19:58:52.496754,t
14,📶,네트워크,네트워크 연결 상태,2025-11-26 19:58:52.496754,t
15,🔒,보안위협,보안 위협 또는 취약점,2025-11-26 19:58:52.496754,t
16,🛡️,보안안전,보안 안전 또는 보호됨,2025-11-26 19:58:52.496754,t
17,🚨,긴급알림,긴급 상황 또는 즉각적인 조치 필요,2025-11-26 19:58:52.496754,t
18,⚙️,구성변경,설정 또는 구성 변경됨,2025-11-26 19:58:52.496754,t
19,🔄,동기화,데이터 동기화 또는 새로고침,2025-11-26 19:58:52.496754,t
20,☁️,클라우드,클라우드 서비스 상태,2025-11-26 19:58:52.496754,t
21,🖥️,서버,서버 상태 또는 인프라,2025-11-26 19:58:52.496754,t
22,📦,배포,소프트웨어 배포 또는 업데이트,2025-11-26 19:58:52.496754,t
23,🐛,버그,소프트웨어 버그 또는 결함,2025-11-26 19:58:52.496754,t
24,🛠️,유지보수,시스템 유지보수 또는 점검,2025-11-26 19:58:52.496754,t
25,🔔,새로운알림,새로운 이벤트 알림,2025-11-26 19:58:52.496754,t
26,🔇,알림해제,알림 음소거,2025-11-26 19:58:52.496754,t
27,🔊,알림활성,알림 활성,2025-11-26 19:58:52.496754,t
28,⚠️,오류발생,예상치 못한 오류,2025-11-26 19:58:52.496754,t
29,✅,작업완료,성공적으로 작업 완료,2025-11-26 19:58:52.496754,t
30,❌,작업실패,작업 실행 실패,2025-11-26 19:58:52.496754,t
31,🏆,성공률,그룹 성공률 표시 아이콘,2025-11-27 16:30:28.049145,t
